docname,topic,proportion
the_hill_we_climb_amanda_gorman.txt,000,0.12442
the_hill_we_climb_amanda_gorman.txt,003,0.091474
the_hill_we_climb_amanda_gorman.txt,007,0.084365
the_hill_we_climb_amanda_gorman.txt,011,0.055875
the_hill_we_climb_amanda_gorman.txt,023,0.05164
the_hill_we_climb_amanda_gorman.txt,012,0.051178
the_hill_we_climb_amanda_gorman.txt,009,0.04877
the_hill_we_climb_amanda_gorman.txt,010,0.046609
the_hill_we_climb_amanda_gorman.txt,016,0.038498
the_hill_we_climb_amanda_gorman.txt,017,0.035641
