topic,term,weight
000,leave,0.01477037
000,stand,0.0017445177
000,make,0.0018835979
000,delay,0.00022616422
000,fig,0.0057893083
000,form,0.005773176
000,burden,0.0057685194
000,inception,0.0057670693
000,promise,0.005763512
000,call,0.0057611763
001,brave,0.011817375
001,forest,0.00577037
001,wade,0.005766849
001,chest,0.005769207
001,city,0.0057670833
001,march,0.0057695117
001,close,0.0057633216
001,lift,0.005764313
001,madam,0.0057662977
001,emerge,0.0057568317
002,isn’t,0.0118221715
002,recite,0.0057634683
002,forge,0.005758717
002,learn,0.005762552
002,madam,0.0057642125
002,recover,0.0057630823
002,trust,0.0057541844
002,succeed,0.0057584527
002,rim,0.0057584113
002,know,0.0057534934
003,prevail,0.014085086
003,dawn,0.0019095907
003,union,0.0007993891
003,defeat,0.00075461005
003,possibly,0.00067908916
003,american,0.00034374412
003,difference,0.005791013
003,compose,0.00578206
003,climb,0.0057690833
003,laughter,0.005762682
004,president,0.011836399
004,forest,0.0057555805
004,vice,0.005748286
004,bronze,0.0057471856
004,madam,0.0057572075
004,recite,0.005750205
004,breath,0.005753926
004,merge,0.005751929
004,lift,0.0057525015
004,true,0.005748116
005,find,0.011839407
005,vice,0.00575344
005,trust,0.0057544424
005,inheritance,0.0057537383
005,sweep,0.0057520703
005,divide,0.0057509327
005,seek,0.0057544857
005,know,0.005750304
005,biden,0.0057494733
005,commit,0.0057478184
006,we’re,0.011841588
006,emerge,0.00575375
006,pride,0.0057542645
006,forest,0.0057588075
006,close,0.0057558473
006,vice,0.005750144
006,recite,0.0057533234
006,city,0.0057569034
006,true,0.0057511893
006,trust,0.005749809
007,hill,0.014042826
007,free,0.0018322138
007,possibly,0.0013421925
007,catastrophe,0.00058323797
007,hope,0.00074145145
007,future,0.0006327297
007,grow,0.0057857567
007,bold,0.005787377
007,legacy,0.005782533
007,fig,0.005774375
008,nation,0.011854495
008,emerge,0.005755118
008,scripture,0.005752869
008,reconcile,0.0057531456
008,true,0.0057533435
008,benevolent,0.005754272
008,norm,0.0057504675
008,children’s,0.0057571414
008,pound,0.005751565
008,feel,0.0057547926
009,eye,0.013617534
009,step,0.0012592274
009,catastrophe,0.0006559938
009,free,0.0005081793
009,democracy,0.00063448836
009,hope,0.0006355901
009,possibly,0.00031177726
009,gaze,0.0057720486
009,recover,0.00577056
009,inaction,0.005767777
010,world,0.013683793
010,dawn,0.0017063919
010,defeat,0.0011201098
010,catastrophe,0.00048449743
010,strive,0.0007344952
010,lie,0.0006514978
010,ask,0.005803953
010,offer,0.00578279
010,dream,0.0057825167
010,tire,0.0057773134
011,day,0.013559721
011,step,0.0026878535
011,union,0.0005349154
011,delay,0.00025378924
011,northeast,0.0057980563
011,bake,0.0057734153
011,benevolent,0.0057761804
011,gaze,0.0057743434
011,climb,0.0057688844
011,reconcile,0.0057627773
012,rise,0.005783635
012,vice,0.005781062
012,true,0.005782193
012,bronze,0.005780389
012,recite,0.005782977
012,scripture,0.0057797846
012,emerge,0.005780412
012,trust,0.0057800827
012,wade,0.005784164
012,pound,0.0057825786
013,future,0.012013201
013,it’s,0.0014367002
013,make,0.00065506273
013,victory,0.0058013424
013,blunder,0.0057953643
013,truth,0.00578419
013,justice,0.0057761553
013,interrupt,0.0057787783
013,assert,0.005769979
013,dare,0.0057748705
014,put,0.011458093
014,stand,0.0029077784
014,make,0.0013502516
014,norm,0.0057816044
014,inheritance,0.0057824235
014,harmony,0.005783618
014,lake,0.0057775546
014,pound,0.0057716626
014,benevolent,0.005770787
014,skinny,0.0057699676
015,vice,0.0058148094
015,scripture,0.0058141532
015,commit,0.0058137826
015,bronze,0.0058137844
015,trust,0.005814448
015,true,0.0058154278
015,emerge,0.005814198
015,biden,0.005814505
015,pride,0.0058151577
015,reconcile,0.0058139106
016,beautiful,0.012269795
016,american,0.0019549222
016,defeat,0.00059446756
016,free,0.0004776058
016,simply,0.0057818256
016,history,0.00577504
016,power,0.005775092
016,faith,0.005769078
016,birthright,0.005765756
016,trust,0.0057619517
017,shade,0.011857636
017,it’s,0.0012691489
017,catastrophe,0.0007099538
017,stand,0.00030003136
017,back,0.005791192
017,mercy,0.0057843872
017,tree,0.00578479
017,breath,0.0057824994
017,people,0.005781365
017,inertia,0.005775311
018,light,0.011932102
018,catastrophe,0.0023315314
018,it’s,0.00043651793
018,descend,0.0058099073
018,unfinished,0.005803319
018,beast,0.005793367
018,victory,0.0057933596
018,single,0.005793987
018,assert,0.0057826433
018,harmony,0.0057843355
019,vice,0.005815242
019,bronze,0.0058142906
019,commit,0.0058141584
019,trust,0.0058146412
019,scripture,0.005813814
019,true,0.0058154417
019,biden,0.0058145775
019,emerge,0.005813521
019,divide,0.005813924
019,pristine,0.005814704
020,democracy,0.0107709905
020,american,0.001988303
020,possibly,0.000611442
020,it’s,0.0006280799
020,fierce,0.0058000684
020,benevolent,0.005797909
020,merge,0.005795822
020,carry,0.0057900106
020,close,0.005784219
020,emerge,0.005778088
021,time,0.010836794
021,make,0.0036410056
021,author,0.005827938
021,love,0.0058057243
021,blunder,0.0058055758
021,children’s,0.005803961
021,trust,0.0057893037
021,effort,0.0057940315
021,loss,0.005790782
021,bridge,0.005785044
022,lie,0.0105025945
022,possibly,0.001973432
022,step,0.0019152351
022,american,0.00051804865
022,realize,0.005793204
022,chapter,0.0057874406
022,true,0.005776555
022,intimidation,0.005788332
022,glade,0.0057792193
022,simply,0.005780856
023,strive,0.011171355
023,raise,0.0015661685
023,make,0.0011299811
023,grieve,0.005793462
023,inheritance,0.005782352
023,author,0.005786257
023,intimidation,0.0057889516
023,tire,0.0057799346
023,dream,0.0057784943
023,children’s,0.0057769152
024,hope,0.010384896
024,it’s,0.003056114
024,loss,0.0057937275
024,blunder,0.005790153
024,doesn’t,0.005788898
024,dare,0.0057903784
024,prepare,0.0057870685
024,learn,0.0057857563
024,history,0.005783395
024,batter,0.0057837083
