docname,topic,proportion
us_economic_outlook_monetary_policy_full.txt,000,0.106253
us_economic_outlook_monetary_policy_full.txt,002,0.105538
us_economic_outlook_monetary_policy_full.txt,001,0.105257
us_economic_outlook_monetary_policy_full.txt,003,0.102837
us_economic_outlook_monetary_policy_full.txt,004,0.100922
us_economic_outlook_monetary_policy_full.txt,005,0.100534
us_economic_outlook_monetary_policy_full.txt,006,0.097568
us_economic_outlook_monetary_policy_full.txt,007,0.097072
us_economic_outlook_monetary_policy_full.txt,008,0.096754
us_economic_outlook_monetary_policy_full.txt,009,0.087265
